Año,Periodo,VariacionAnualNPC
1970,Enero,5.20
1970,Febrero,4.81
1970,Marzo,5.01
1970,Abril,4.87
1970,Mayo,5.09
1970,Junio,5.35
1970,Julio,5.46
1970,Agosto,5.84
1970,Septiembre,5.11
1970,Octubre,4.05
1970,Noviembre,4.60
1970,Diciembre,4.69
1971,Enero,4.93
1971,Febrero,5.38
1971,Marzo,5.47
1971,Abril,5.87
1971,Mayo,5.87
1971,Junio,5.71
1971,Julio,5.11
1971,Agosto,5.58
1971,Septiembre,5.67
1971,Octubre,5.74
1971,Noviembre,5.34
1971,Diciembre,4.96
1972,Enero,4.40
1972,Febrero,4.29
1972,Marzo,4.46
1972,Abril,4.58
1972,Mayo,4.57
1972,Junio,4.87
1972,Julio,5.35
1972,Agosto,5.08
1972,Septiembre,5.22
1972,Octubre,5.19
1972,Noviembre,5.70
1972,Diciembre,5.56
1973,Enero,6.62
1973,Febrero,7.16
1973,Marzo,7.52
1973,Abril,8.54
1973,Mayo,9.47
1973,Junio,9.56
1973,Julio,11.95
1973,Agosto,13.00
1973,Septiembre,15.16
1973,Octubre,16.56
1973,Noviembre,17.23
1973,Diciembre,21.37
1974,Enero,23.92
1974,Febrero,25.68
1974,Marzo,25.54
1974,Abril,25.26
1974,Mayo,24.92
1974,Junio,25.13
1974,Julio,23.76
1974,Agosto,23.09
1974,Septiembre,21.60
1974,Octubre,22.44
1974,Noviembre,24.31
1974,Diciembre,20.60
1975,Enero,17.92
1975,Febrero,15.95
1975,Marzo,15.79
1975,Abril,15.20
1975,Mayo,15.83
1975,Junio,16.65
1975,Julio,15.91
1975,Agosto,15.69
1975,Septiembre,15.22
1975,Octubre,13.56
1975,Noviembre,11.27
1975,Diciembre,11.31
1976,Enero,12.02
1976,Febrero,13.49
1976,Marzo,13.89
1976,Abril,13.72
1976,Mayo,13.01
1976,Junio,11.56
1976,Julio,11.62
1976,Agosto,11.72
1976,Septiembre,14.69
1976,Octubre,20.53
1976,Noviembre,25.10
1976,Diciembre,27.20
1977,Enero,28.77
1977,Febrero,29.19
1977,Marzo,30.17
1977,Abril,31.22
1977,Mayo,31.45
1977,Junio,32.53
1977,Julio,32.91
1977,Agosto,34.35
1977,Septiembre,32.22
1977,Octubre,26.13
1977,Noviembre,22.00
1977,Diciembre,20.66
1978,Enero,19.53
1978,Febrero,18.63
1978,Marzo,17.81
1978,Abril,17.35
1978,Mayo,17.46
1978,Junio,17.64
1978,Julio,18.30
1978,Agosto,17.07
1978,Septiembre,16.35
1978,Octubre,16.86
1978,Noviembre,16.79
1978,Diciembre,16.17
1979,Enero,17.68
1979,Febrero,17.68
1979,Marzo,18.05
1979,Abril,17.80
1979,Mayo,18.18
1979,Junio,17.87
1979,Julio,17.31
1979,Agosto,17.91
1979,Septiembre,18.01
1979,Octubre,18.63
1979,Noviembre,18.93
1979,Diciembre,20.02
1980,Enero,21.56
1980,Febrero,22.60
1980,Marzo,23.45
1980,Abril,24.49
1980,Mayo,24.89
1980,Junio,25.97
1980,Julio,27.94
1980,Agosto,28.64
1980,Septiembre,28.49
1980,Octubre,28.20
1980,Noviembre,28.77
1980,Diciembre,29.85
1981,Enero,27.80
1981,Febrero,27.98
1981,Marzo,28.08
1981,Abril,28.72
1981,Mayo,28.57
1981,Junio,27.83
1981,Julio,26.55
1981,Agosto,26.54
1981,Septiembre,27.47
1981,Octubre,28.36
1981,Noviembre,28.60
1981,Diciembre,28.68
1982,Enero,30.86
1982,Febrero,32.74
1982,Marzo,34.71
1982,Abril,38.88
1982,Mayo,44.50
1982,Junio,49.37
1982,Julio,54.35
1982,Agosto,68.21
1982,Septiembre,73.95
1982,Octubre,79.00
1982,Noviembre,84.49
1982,Diciembre,98.84
1983,Enero,110.04
1983,Febrero,112.95
1983,Marzo,115.39
1983,Abril,117.25
1983,Mayo,114.61
1983,Junio,112.50
1983,Julio,112.08
1983,Agosto,98.08
1983,Septiembre,93.83
1983,Octubre,90.39
1983,Noviembre,91.87
1983,Diciembre,80.78
1984,Enero,73.40
1984,Febrero,73.25
1984,Marzo,72.31
1984,Abril,69.06
1984,Mayo,67.41
1984,Junio,67.14
1984,Julio,64.49
1984,Agosto,62.84
1984,Septiembre,62.68
1984,Octubre,62.96
1984,Noviembre,59.20
1984,Diciembre,59.16
1985,Enero,60.75
1985,Febrero,59.04
1985,Marzo,58.43
1985,Abril,56.53
1985,Mayo,55.10
1985,Junio,53.43
1985,Julio,53.73
1985,Agosto,56.02
1985,Septiembre,57.55
1985,Octubre,58.02
1985,Noviembre,59.82
1985,Diciembre,63.75
1986,Enero,65.92
1986,Febrero,66.38
1986,Marzo,67.62
1986,Abril,71.11
1986,Mayo,76.44
1986,Junio,83.17
1986,Julio,85.84
1986,Agosto,92.25
1986,Septiembre,95.96
1986,Octubre,99.58
1986,Noviembre,103.67
1986,Diciembre,105.75
1987,Enero,104.34
1987,Febrero,109.76
1987,Marzo,113.69
1987,Abril,120.86
1987,Mayo,125.00
1987,Junio,126.73
1987,Julio,133.44
1987,Agosto,133.88
1987,Septiembre,135.18
1987,Octubre,141.00
1987,Noviembre,143.65
1987,Diciembre,159.17
1988,Enero,176.83
1988,Febrero,179.73
1988,Marzo,175.83
1988,Abril,161.44
1988,Mayo,147.82
1988,Junio,135.81
1988,Julio,121.79
1988,Agosto,106.92
1988,Septiembre,95.24
1988,Octubre,81.59
1988,Noviembre,70.50
1988,Diciembre,51.66
1989,Enero,34.56
1989,Febrero,25.89
1989,Marzo,21.05
1989,Abril,19.20
1989,Mayo,18.54
1989,Junio,17.58
1989,Julio,16.81
1989,Agosto,16.85
1989,Septiembre,17.30
1989,Octubre,18.13
1989,Noviembre,18.21
1989,Diciembre,19.70
1990,Enero,22.48
1990,Febrero,23.57
1990,Marzo,24.40
1990,Abril,24.43
1990,Mayo,24.89
1990,Junio,26.11
1990,Julio,27.13
1990,Agosto,28.08
1990,Septiembre,28.68
1990,Octubre,28.62
1990,Noviembre,30.21
1990,Diciembre,29.93
1991,Enero,27.11
1991,Febrero,26.46
1991,Marzo,26.04
1991,Abril,25.45
1991,Mayo,24.51
1991,Junio,23.10
1991,Julio,21.97
1991,Agosto,20.76
1991,Septiembre,20.25
1991,Octubre,19.92
1991,Noviembre,19.72
1991,Diciembre,18.79
1992,Enero,17.95
1992,Febrero,17.30
1992,Marzo,16.82
1992,Abril,16.64
1992,Mayo,16.28
1992,Junio,15.85
1992,Julio,15.56
1992,Agosto,15.46
1992,Septiembre,15.32
1992,Octubre,14.82
1992,Noviembre,12.96
1992,Diciembre,11.94
1993,Enero,11.32
1993,Febrero,10.91
1993,Marzo,10.44
1993,Abril,10.09
1993,Mayo,10.00
1993,Junio,9.87
1993,Julio,9.70
1993,Agosto,9.62
1993,Septiembre,9.48
1993,Octubre,9.14
1993,Noviembre,8.72
1993,Diciembre,8.01
1994,Enero,7.50
1994,Febrero,7.18
1994,Marzo,7.10
1994,Abril,7.01
1994,Mayo,6.92
1994,Junio,6.85
1994,Julio,6.81
1994,Agosto,6.74
1994,Septiembre,6.71
1994,Octubre,6.83
1994,Noviembre,6.93
1994,Diciembre,7.05
1995,Enero,10.23
1995,Febrero,14.31
1995,Marzo,20.43
1995,Abril,29.39
1995,Mayo,34.15
1995,Junio,37.72
1995,Julio,39.91
1995,Agosto,41.57
1995,Septiembre,43.48
1995,Octubre,45.66
1995,Noviembre,48.46
1995,Diciembre,51.97
1996,Enero,51.72
1996,Febrero,48.95
1996,Marzo,43.75
1996,Abril,36.93
1996,Mayo,33.83
1996,Junio,31.82
1996,Julio,31.03
1996,Agosto,30.60
1996,Septiembre,30.00
1996,Octubre,28.97
1996,Noviembre,27.77
1996,Diciembre,27.70
1997,Enero,26.44
1997,Febrero,25.64
1997,Marzo,24.46
1997,Abril,22.33
1997,Mayo,21.23
1997,Junio,20.35
1997,Julio,19.70
1997,Agosto,19.18
1997,Septiembre,18.76
1997,Octubre,18.24
1997,Noviembre,17.77
1997,Diciembre,15.72
1998,Enero,15.27
1998,Febrero,15.35
1998,Marzo,15.27
1998,Abril,15.10
1998,Mayo,14.97
1998,Junio,15.31
1998,Julio,15.41
1998,Agosto,15.50
1998,Septiembre,15.92
1998,Octubre,16.65
1998,Noviembre,17.41
1998,Diciembre,18.61
1999,Enero,19.02
1999,Febrero,18.54
1999,Marzo,18.26
1999,Abril,18.23
1999,Mayo,18.01
1999,Junio,17.39
1999,Julio,17.04
1999,Agosto,16.58
1999,Septiembre,15.83
1999,Octubre,14.91
1999,Noviembre,13.92
1999,Diciembre,12.32
2000,Enero,11.02
2000,Febrero,10.52
2000,Marzo,10.11
2000,Abril,9.73
2000,Mayo,9.48
2000,Junio,9.41
2000,Julio,9.12
2000,Agosto,9.10
2000,Septiembre,8.85
2000,Octubre,8.91
2000,Noviembre,8.87
2000,Diciembre,8.96
2001,Enero,8.11
2001,Febrero,7.09
2001,Marzo,7.17
2001,Abril,7.11
2001,Mayo,6.95
2001,Junio,6.57
2001,Julio,5.88
2001,Agosto,5.93
2001,Septiembre,6.14
2001,Octubre,5.89
2001,Noviembre,5.39
2001,Diciembre,4.40
2002,Enero,4.79
2002,Febrero,4.79
2002,Marzo,4.66
2002,Abril,4.70
2002,Mayo,4.68
2002,Junio,4.94
2002,Julio,5.51
2002,Agosto,5.29
2002,Septiembre,4.95
2002,Octubre,4.94
2002,Noviembre,5.39
2002,Diciembre,5.70
2003,Enero,5.16
2003,Febrero,5.52
2003,Marzo,5.64
2003,Abril,5.25
2003,Mayo,4.70
2003,Junio,4.27
2003,Julio,4.13
2003,Agosto,4.04
2003,Septiembre,4.04
2003,Octubre,3.96
2003,Noviembre,3.98
2003,Diciembre,3.98
2004,Enero,4.20
2004,Febrero,4.53
2004,Marzo,4.23
2004,Abril,4.21
2004,Mayo,4.29
2004,Junio,4.37
2004,Julio,4.49
2004,Agosto,4.82
2004,Septiembre,5.06
2004,Octubre,5.40
2004,Noviembre,5.43
2004,Diciembre,5.19
2005,Enero,4.54
2005,Febrero,4.27
2005,Marzo,4.39
2005,Abril,4.60
2005,Mayo,4.60
2005,Junio,4.33
2005,Julio,4.47
2005,Agosto,3.95
2005,Septiembre,3.51
2005,Octubre,3.05
2005,Noviembre,2.91
2005,Diciembre,3.33
2006,Enero,3.94
2006,Febrero,3.75
2006,Marzo,3.41
2006,Abril,3.20
2006,Mayo,3.00
2006,Junio,3.18
2006,Julio,3.06
2006,Agosto,3.47
2006,Septiembre,4.09
2006,Octubre,4.29
2006,Noviembre,4.09
2006,Diciembre,4.05
2007,Enero,3.98
2007,Febrero,4.11
2007,Marzo,4.21
2007,Abril,3.99
2007,Mayo,3.95
2007,Junio,3.98
2007,Julio,4.14
2007,Agosto,4.03
2007,Septiembre,3.79
2007,Octubre,3.74
2007,Noviembre,3.93
2007,Diciembre,3.76
2008,Enero,3.70
2008,Febrero,3.72
2008,Marzo,4.25
2008,Abril,4.55
2008,Mayo,4.95
2008,Junio,5.26
2008,Julio,5.39
2008,Agosto,5.57
2008,Septiembre,5.47
2008,Octubre,5.78
2008,Noviembre,6.23
2008,Diciembre,6.53
2009,Enero,6.28
2009,Febrero,6.20
2009,Marzo,6.04
2009,Abril,6.17
2009,Mayo,5.98
2009,Junio,5.74
2009,Julio,5.44
2009,Agosto,5.08
2009,Septiembre,4.89
2009,Octubre,4.50
2009,Noviembre,3.86
2009,Diciembre,3.57
2010,Enero,4.46
2010,Febrero,4.83
2010,Marzo,4.97
2010,Abril,4.27
2010,Mayo,3.92
2010,Junio,3.69
2010,Julio,3.64
2010,Agosto,3.68
2010,Septiembre,3.70
2010,Octubre,4.02
2010,Noviembre,4.32
2010,Diciembre,4.40
2011,Enero,3.78
2011,Febrero,3.57
2011,Marzo,3.04
2011,Abril,3.36
2011,Mayo,3.25
2011,Junio,3.28
2011,Julio,3.55
2011,Agosto,3.42
2011,Septiembre,3.14
2011,Octubre,3.20
2011,Noviembre,3.48
2011,Diciembre,3.82
2012,Enero,4.05
2012,Febrero,3.87
2012,Marzo,3.73
2012,Abril,3.41
2012,Mayo,3.85
2012,Junio,4.34
2012,Julio,4.42
2012,Agosto,4.57
2012,Septiembre,4.77
2012,Octubre,4.60
2012,Noviembre,4.18
2012,Diciembre,3.57
2013,Enero,3.25
2013,Febrero,3.55
2013,Marzo,4.25
2013,Abril,4.65
2013,Mayo,4.63
2013,Junio,4.09
2013,Julio,3.47
2013,Agosto,3.46
2013,Septiembre,3.39
2013,Octubre,3.36
2013,Noviembre,3.62
2013,Diciembre,3.97
2014,Enero,4.48
2014,Febrero,4.23
2014,Marzo,3.76
2014,Abril,3.50
2014,Mayo,3.51
2014,Junio,3.75
2014,Julio,4.07
2014,Agosto,4.15
2014,Septiembre,4.22
2014,Octubre,4.30
2014,Noviembre,4.17
2014,Diciembre,4.08
2015,Enero,3.07
2015,Febrero,3.00
2015,Marzo,3.14
2015,Abril,3.06
2015,Mayo,2.88
2015,Junio,2.87
2015,Julio,2.74
2015,Agosto,2.59
2015,Septiembre,2.52
2015,Octubre,2.48
2015,Noviembre,2.21
2015,Diciembre,2.13
2016,Enero,2.61
2016,Febrero,2.87
2016,Marzo,2.60
2016,Abril,2.54
2016,Mayo,2.60
2016,Junio,2.54
2016,Julio,2.65
